original_address,planned_dest,status,matched_file
,"/High number of impressions. Does this need any updates, Mike",missing,
,/Apply detail page format. Review for readability. Reframe as “CivicActions’ Accessibility Champions program.”,missing,
,"/Convert to topic page. Write intro copy. Create info hierarchy on page. Emphasize USWDS. Offload link lists to Github, etc. if possible.",missing,
,"/High value page, high click-through rate. Last updated 2021. Update to include WCAG 2.2, M-23-22 (briefly), and M-24-08.",missing,
,"/This one should probably be turned into a how-to for orgs generally, with any remainder put into the Handbook or CA Confluence.",missing,
,/Apply guide format. Suggest subdividing page into starting points and further reading. Focus should be on the former.,missing,
,"/For each subhead, describe what we look for in a tool in that category, then list the three best ones. Additional options can be below that.",missing,
,/Expand into topic page for training and certification. Bigger lift but will be a good landing page for related items.,missing,
,/This is close. Recommend applying guide format that answers what is automated testing and how to set it up. (see Plain Language for a good starting point on the format.),missing,
,/Role-related content goes in Champion. Expand into topic page for the roles detail pages. Reduce links to most-recommended and delete the rest or move to internal page. List of roles can be found on this page. The approach of this W3C page may be a helpful model.,missing,
,/Form field Subject seems to have the wrong label. Is it subject or body,missing,
,/Add explanatory text. Develop the CivicActions Accessibility viewpoint on documents. Reduce the number of links if not all of them are necessary. Highlight preferred resources for documents. Check remaining links to make sure they work and are still leading to relevant content.,missing,
,"/A page like this can be made more relevant by reframing, e.g. “If you only have five minutes and are interested in X take a look at Y” for each section. All links should be checked to make sure they still work and are relevant.",missing,
,"/Suggest reframing this page as a way to prevent accessibility issues or cut down on them out of the gate. Talk about native element semantics and how they map to browser accessibility APIs, doing a lot of the hard work for you. Mention first rule of ARIA. Mention HTML Validator as first line of defence against accessibility errors.",missing,
,"/Overall this page is good, but may need to be restrucured slightly when reviewed. Alexa Heinrich has done a lot with the Accessible Social project which is worth emphasizing. It’s a very good starting point and is very experiment-driven.",missing,
,/Consider whether this page should be converted into a how-to guide. Say more about VoiceOver: pragmatic since a lot of designers and developers have easy access to it. Add headers to better structure the content.,missing,
,/Consider whether this page should be converted to a how-to guide or remain a detail page. Add headers to better structure the content. Make Drupal-focused,missing,
,/Reduce the number of links if not all of them are necessary.,missing,
,/This works as a detail page with Recommendations instead of a Checklist since there are lots of directions people could take. Would recommend linking to the Social Media page because Accessible Social is an example of a great community of practitioners.,missing,
,/It might make this page more authoritative to mention that care still needs to be taken to ensure digital workplaces are inclusive. Resources section: Reduce the number of links if necessary and change hyperlinks to desciptive text.,missing,
,"/Consider whether this page be combined with Community. If it remains separate, it should have reciprocal links to Community and it should identify more examples.",missing,
,/Structure this in a guide format by explaining the steps needed to do this.,missing,
,"/If we are taking a stand against PDF, we should mention that on our Documents page. I think we need to combine all three and mention pros and cons.",missing,
,/Structure this in a guide format by explaining the steps needed to do this. The Checklist section could be expanded on.,missing,
,/Re-title as build a gov comm of practice. Revise rest of page with that in mind.,missing,
,/Consider combining the language and identity page into this one. Add headers to better structure the content.,missing,
,/Structure this in a guide format by explaining the steps needed to do this. Link to our own,missing,
,"/Reframe as a “how to get started” page (thematically, if not in name). Add description of role to top of page. Move relevant links from the role based evaluation page to this page. Remove accordions on this page. Reduce links to most-recommended and delete the rest or move to internal page.",missing,
,"/Reframe as a “how to get started” page (thematically, if not in name). Add description of role to top of page. Move relevant links from the role based evaluation page to this page. Remove accordions on this page. Reduce links to most-recommended and delete the rest or move to internal page.",missing,
,"/Reframe as a “how to get started” page (thematically, if not in name). Add description of role to top of page. Move relevant links from the role based evaluation page to this page. Remove accordions on this page. Reduce links to most-recommended and delete the rest or move to internal page.",missing,
,"/Reframe as a “how to get started” page (thematically, if not in name). Add description of role to top of page. Move relevant links from the role based evaluation page to this page. Remove accordions on this page. Reduce links to most-recommended and delete the rest or move to internal page.",missing,
,"/Reframe as a “how to get started” page (thematically, if not in name). Add description of role to top of page. Move relevant links from the role based evaluation page to this page. Remove accordions on this page. Reduce links to most-recommended and delete the rest or move to internal page.",missing,
,"/Reframe as a “how to get started” page (thematically, if not in name). Add description of role to top of page. Move relevant links from the role based evaluation page to this page. Remove accordions on this page. Reduce links to most-recommended and delete the rest or move to internal page.",missing,
,"/Reframe as a “how to get started” page (thematically, if not in name). Add description of role to top of page. Move relevant links from the role based evaluation page to this page. Remove accordions on this page. Reduce links to most-recommended and delete the rest or move to internal page.",missing,
,/Remove duplicate H1 header and add more explanation of VPAT. Optional: Reduce the number of links if not all of them are necessary.,missing,
,/Add more to the About section and (optionally) how to connect. This should look more like Mike's page.,missing,
,/Add more to the About section and (optionally) how to connect. This should look more like Mike's page.,missing,
,/Add more to the About section and (optionally) how to connect. This should look more like Mike's page.,missing,
,/Add more to the About section and (optionally) how to connect. This should look more like Mike's page.,missing,
,/Add more to the About section and (optionally) how to connect. This should look more like Mike's page.,missing,
,/Add more to the About section and (optionally) how to connect. This should look more like Mike's page.,missing,
,/Add more to the About section and (optionally) how to connect. This should look more like Mike's page.,missing,
,/Add more to the About section and (optionally) how to connect. This should look more like Mike's page.,missing,
,/Add more to the About section and (optionally) how to connect. This should look more like Mike's page.,missing,
,/Check that content is current and links work.,missing,
,/Check that content is current and links work.,missing,
,/I'm unsure where this should go. Should it have been a post,missing,
,/Is there a way to improve the UI,missing,
,/Change to “CivicActions Accessibility Guides” with updated browse UI.,missing,
,/Convert to guide,missing,
,"/Combine with ux designer page to create one ""Designer"" page that descibes visual, content, and research design.",missing,
,/Is this still relevant,missing,
,/Do we want to keep this,missing,
,/Is this still relevant,missing,
,/Is this still relevant,missing,
,/Is this still relevant,missing,
,/Is this still relevant,missing,
,/Is this still relevant,missing,
,/Is this still relevant,missing,
,/Is this still relevant,missing,
,/Is there a way to improve the UI,missing,
,"/The info this points to could be combined with other pages, which would make this irrelevant.",missing,
,/I'm unsure where this should go. Should it have been a post,missing,
,/Do we need this page,missing,
,/Remove PDF from site,missing,
,/Remove PDF from site,missing,
,/Remove PDF from site,missing,
,/Remove PDF from site,missing,
,/Remove PDF from site,missing,
,/Remove PDF from site,missing,
,/Remove PDF from site,missing,
,/This should move to an internal site.,missing,
,/This should be moved to an internal site.,missing,
,/This should be moved to an internal site.,missing,
,/Do we still want to use the personas,missing,
,/No content on this page.,missing,
,/We may no longer need this page if navigation changes.,missing,
,/Structure this in a guide format by explaining the steps needed to do this. Optional: Reduce the number of links if not all of them are necessary.,missing,
,"/The info this points to could be combined with other pages, which would make this irrelevant.",missing,
,"/Consider combining with PWD page. As-is, page would be stronger if it had some specific recommendations. Questions could be included in a “key questions” section. This relates to how you build a culture of inclusion—suggest moving to Champion Accessibility section. All links should be checked to make sure they still work and are relevant.",missing,
,/This page needs to be combined with /guide/documents,found,playbook/documents.md
,/Do we need one about page that includes this info,missing,
,/Should we only have one link to the people page,missing,
,/Do we need one about page that includes this info,missing,
,/Do we need one about page that includes this info,missing,
,/Do we need one about page that includes this info,missing,
,/Should we only have one link to the people page,missing,
,/Remove CA info to internal site. Other info can be combined with a different page.,missing,
,/Combine into a page about the site.,missing,
,/Remove CA info to internal site. Other info can be combined with a different page.,missing,
,/This link could go on a different page.,missing,
,/This link could go on a different page.,missing,
,/This link could go on a different page.,missing,
,/This link could go on a different page.,missing,
