destination,suggested_match
/about/news/how-drupal-helps-bake-accessibility-into-every-project,
/about/news/scale-inclusive-content-automated-testing-open-source-tools,
/about/news/whitehouse-gov-beginning-accessibility-journey,
/about/news/will-biden-transform-government-website-accessibility,about/news/govtech-how-will-biden-transform-government-website-accessibility.md
/about/open-work-culture,
/about/services,services.md
/about/who-we-are,
/champions/accessibility-focused-organizations,
/champions/accessibility-resources,
/champions/build-community,
/champions/champions-program,champion-accessibility/champions-program.md
/champions/designer-role,
/champions/developer-role,
/champions/executive-role,
/champions/holistic-enterprise-accessibility-review-technique,
/champions/identity-language,guide/identity-language.md
/champions/join-community,
/champions/onboarding-staff,champion-accessibility/onboarding-staff.md
/champions/operations-role,
/champions/procurement-role,
/champions/product-manager-role,
/champions/project-manager-role,
/champions/role-based-evaluations,
/champions/training-certifications,
/guides,
/guides/design/design-systems,accessibility-guides/design-systems.md
/guides/design/documents,playbook/documents.md
/guides/design/pdf,playbook/pdf.md
/guides/design/plain-language,accessibility-guides/plain-language.md
/guides/design/social-media,accessibility-guides/social-media.md
/guides/development/authoring,accessibility-guides/authoring.md
/guides/development/automated-testing,accessibility-guides/automated-testing.md
/guides/development/defect-priority,guide/defect-priority.md
/guides/development/manual-testing,playbook/manual-testing.md
/guides/development/personalization,playbook/personalization.md
/guides/development/screen-reader,
/guides/development/semantic-html,accessibility-guides/semantic-html.md
/guides/reporting/acr,guides/reporting/acr-report.md
/guides/reporting/acr-report,
/guides/strategy/ai-and-ia,
/guides/strategy/checklists,accessibility-guides/checklists.md
/guides/strategy/distributed-teams,playbook/distributed-teams.md
/guides/strategy/follow-global-initiatives,playbook/follow-global-initiatives.md
/guides/strategy/glossary,guide/glossary.md
/guides/strategy/history,accessibility-guides/history.md
/guides/strategy/pwd,playbook/pwd.md
/guides/strategy/recommended-tools,
/guides/strategy/training,champion-accessibility/training.md
/guides/strategy/website-statements,
/site/accessibility-statement,
/site/colophon,colophon.md
/site/license,node_modules/ms/license.md
